[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/17 13:12:35 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/17 - 13:12:38 | 200 |  33.38ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  57.78ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 | 103.46ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 | 110.69ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 | 121.45ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 | 122.83ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  124.7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 | 123.16ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 500 | 128.49ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 500 | 129.79ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 | 129.24ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   5.46ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   4.73ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   5.71ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   8.44ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  10.08ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  11.37ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  12.07ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  10.19ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   9.48ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  11.67ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   5.14ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   4.77ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   4.29ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   6.47ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   8.83ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 500 |   10.2ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  12.13ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   8.43ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |  10.17ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   8.28ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   5.38ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   5.73ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   9.46ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   4.83ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   9.66ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   9.32ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 500 |  10.61ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   8.51ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   9.82ms |       127.0.0.1 | POST     "/v1/credit"
