[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/19 00:36:26 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/19 - 00:37:15 | 200 | 166.12ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 | 170.87ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 | 180.52ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 | 179.27ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 |  182.7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 | 182.62ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 | 184.23ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 | 189.98ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 | 190.15ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:15 | 200 | 190.18ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   6.18ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.47ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  19.39ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  26.94ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  23.71ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  25.67ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  28.38ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  20.59ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  15.37ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  17.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   6.08ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   6.07ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   7.13ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  14.81ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  15.36ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  16.67ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  16.57ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  17.94ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  17.82ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  17.32ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.81ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   4.79ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.42ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.31ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   12.7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  13.64ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  13.72ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  14.02ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  14.13ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  14.18ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.21ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   4.82ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.25ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.73ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  13.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   13.3ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  14.05ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  13.25ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  13.73ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  15.16ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   6.09ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.08ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.16ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  12.88ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.09ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  12.34ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  12.76ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  13.22ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  10.59ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.62ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.56ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.05ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  10.51ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.05ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.68ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  14.17ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  14.24ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   13.8ms |       127.0.0.1 | POST     "/v1/credit"
